00014b0e-60be-4f9f-afe4-1541a4f43a9b	chopped
00014b0e-60be-4f9f-afe4-1541a4f43a9b	melon
00045b19-ad8b-4f56-8522-57f410e04b16	eyeglasses
00071729-7d7e-4178-882a-da46874638ee	other
0008079f-722a-47b8-8bd2-0507a3813d4d	elements
0008079f-722a-47b8-8bd2-0507a3813d4d	environmental
0011c411-9619-4ea3-a9ee-d40aeeed7cf2	derby
0011c411-9619-4ea3-a9ee-d40aeeed7cf2	races
0011c411-9619-4ea3-a9ee-d40aeeed7cf2	soapbox
001295b6-e0a6-48f9-966b-4d56f869dcc4	camper
001295b6-e0a6-48f9-966b-4d56f869dcc4	scout
00170c81-80dd-4341-9de7-573f9cfc82e6	sharks
001b7e74-bd2e-49cc-a2c4-9e7016064a56	die
001bb480-41d3-4f6a-9a31-d660f0e40405	waterski
001d7e19-fbf8-4211-acfa-116eac7b28ed	actions
001e42cd-b4ec-432c-948d-bd666178cd53	take
001e42cd-b4ec-432c-948d-bd666178cd53	temperature
0022f922-a1b3-4fde-bf06-4d405111a88e	department
0022f922-a1b3-4fde-bf06-4d405111a88e	engineering
0022f922-a1b3-4fde-bf06-4d405111a88e	hospital
0027b822-19f1-4432-857b-038cde17d7d4	dog
0027b822-19f1-4432-857b-038cde17d7d4	musher
0027b822-19f1-4432-857b-038cde17d7d4	runner
003320df-14fa-4b4a-b38d-cd8a90c09beb	Barbie
003320df-14fa-4b4a-b38d-cd8a90c09beb	doll
0035b0da-aad1-4dba-a547-0e5f13a2db6e	artist
0035b0da-aad1-4dba-a547-0e5f13a2db6e	make-up
003667fb-5e43-47dc-8468-5e8ea003ea7d	apple
003667fb-5e43-47dc-8468-5e8ea003ea7d	slice
003a30bc-436e-461e-a303-60f769672dd3	baseball
003a30bc-436e-461e-a303-60f769672dd3	history
003bccb1-0302-4f2b-ae51-b4bb0f94def8	archive
003bccb1-0302-4f2b-ae51-b4bb0f94def8	store
003caa52-e471-4551-9d3a-63859731dd1c	1/2
003caa52-e471-4551-9d3a-63859731dd1c	4
003caa52-e471-4551-9d3a-63859731dd1c	cup
003caa52-e471-4551-9d3a-63859731dd1c	four
003caa52-e471-4551-9d3a-63859731dd1c	ounces
003caa52-e471-4551-9d3a-63859731dd1c	oz.
003dc41e-b9fb-4c98-b2b7-2324d310f734	scar
00456683-3313-4c64-beb1-39fc5bae9de7	Schmutzli
00456c17-fa91-4202-9c73-b045be7f4217	gallop
00456c17-fa91-4202-9c73-b045be7f4217	trot
004a296c-b52b-4487-b260-a42c11ed4601	mobile
004a296c-b52b-4487-b260-a42c11ed4601	ski
004b53b1-02b1-462c-a781-f4af35835d94	Pete
004b53b1-02b1-462c-a781-f4af35835d94	Robertson
004e5193-b0d7-4257-8ee2-f00109c8de9d	flower
004e5193-b0d7-4257-8ee2-f00109c8de9d	jeans
004e5193-b0d7-4257-8ee2-f00109c8de9d	print
005320a9-80ed-41bf-a490-fa13fb1c5b88	census
005320a9-80ed-41bf-a490-fa13fb1c5b88	taker
00537c0e-8838-4144-83ab-3aa5af37e27a	fig
0055d6c7-2007-419d-81d9-6a57255a8651	receiver
005a0f7f-fc3b-4ec3-8f01-db2550bfa426	rotelle
005e7f98-d85f-4154-b039-55c9bf7d1f4a	congressperson
00618485-d562-447f-9af6-0d2e538d5fd9	handicapped
00618485-d562-447f-9af6-0d2e538d5fd9	ISO
00618485-d562-447f-9af6-0d2e538d5fd9	parking
00618485-d562-447f-9af6-0d2e538d5fd9	sign
0061f6e5-1b73-4b9a-856d-e45aa4fa5258	brownie
0061f6e5-1b73-4b9a-856d-e45aa4fa5258	mix
00668851-4f36-4abc-98bb-e72bbaecf438	lard
006946ef-8fce-4589-9212-227333ebc7b3	soccer
